Percentile,Top 10 Colleges/Branches
99+,"R.V. College of Engineering, BengaluruComputer Science and Engineering (CSE), Electronics and Communication Engineering (ECE), Mechanical Engineering (ME), Civil Engineering (CE), Electrical Engineering (EE), Information Technology (IT), Artificial Intelligence and Machine Learning (AI&ML), Chemical Engineering (CHE)"
98+,"BMS College of Engineering, BengaluruCSE, ECE, ME, CE, EE, IT, AI&ML, CHE, Biotechnology (BT)"
97+,"M.S. Ramaiah Institute of Technology, BengaluruCSE, ECE, ME, CE, EE, IT, AI&ML, CHE, BT, Aerospace Engineering (AE)"
96+,"Dayananda Sagar College of Engineering, BengaluruCSE, ECE, ME, CE, EE, IT, AI&ML, CHE, BT, Civil Engineering (Construction Technology) (CE(CT))"
95+,"Bangalore Institute of Technology (BIT), BengaluruCSE, ECE, ME, CE, EE, IT, AI&ML, CHE, BT, AE"
94+,"BMS Institute of Technology and Management (BMSIT), BengaluruCSE, ECE, ME, CE, EE, IT, AI&ML, CHE, BT, AE"
93+,"JSS Mahavidyapeetha Academy of Technical Education, Bengaluru (JSSATE)CSE, ECE, ME, CE, EE, IT, AI&ML, CHE, BT, AE"
92+,"Sir M. Visvesvaraya Institute of Technology (Sir M.V.I.T.), BengaluruCSE, ECE, ME, CE, EE, IT, AI&ML, CHE, BT, AE"
91+,"The National Institute of Engineering (NIE), MysoreCSE, ECE, ME, CE, EE, IT, AI&ML, CHE, BT, AE"
90+,"Siddaganga Institute of Technology (SIT), TumakuruCSE, ECE, ME, CE, EE, IT, AI&ML, CHE, BT, AE"
89+,"PES Institute of Technology, BengaluruCSE, ECE, ME, CE, EE, IT, AI&ML, CHE, BT, AE"
