Exam name,Website
JEE Main,https://jeemain.nta.nic.in/
MHTCET,https://cetcell.mahacet.org/CAP_landing_page_2023/
VITEEE,https://vit.ac.in/vellore-institute-technology-engineering-entrance-examination
BITSAT,https://www.bitsadmission.com/bitsatmain.aspx?id=11012016
SRM,https://www.srmist.edu.in/admission-india/
Manipal,https://manipal.edu/mu/admission/indian-students/online-entrance-exam-overview.html
KIIT,https://kiitee.kiit.ac.in/
WBJEE,https://wbjeeb.nic.in/WBJEECMS/Page/Page?PageId=1&LangId=P
COMEDK,https://www.comedk.org/
Symbiosis,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.set-test.org/&ved=2ahUKEwjIssvZ6tGBAxVjcGwGHcEnDbMQFnoECBEQAQ&usg=AOvVaw24IYpbKSYoZGC0wNE9o7N3
