Percentile,Top 10 Colleges/Branches
99+,"Birla Institute of Technology and Science, Pilani (BITS Pilani)/ Electrical and Electronics Engineering (EEE), Chemical Engineering (CHE), Manufacturing Engineering (PE), Biotechnology (BT), Pharmacy (PHAR)"
98+,"Birla Institute of Technology and Science, Hyderabad (BITS Hyderabad)/CSE, ECE, ME, CE, EEE, CHE, PE, BT, PHAR"
97+,"Birla Institute of Technology and Science, Goa (BITS Goa)/CSE, ECE, ME, CE, EEE, CHE, PE, BT, PHAR"
96+,"Vellore Institute of Technology, Vellore (VIT Vellore)/CSE, ECE, ME, CE, EEE, IT, PE, CHE, BT, PHAR, Mechanical Engineering (Automobile Engineering) (ME(AE)), Mechanical Engineering (Energy Engineering) (ME(EE)), Mechanical Engineering (Production Engineering) (ME(PE)), Electronics and Communication Engineering (Computer Science) (ECE(CS)), Electronics and Communication Engineering (Electronics and Telecommunication) (ECE(ET)), Electronics and Communication Engineering (Instrumentation and Control) (ECE(IC)), Civil Engineering (Structural Engineering) (CE(SE)), Civil Engineering (Transportation Engineering) (CE(TE)), Electrical Engineering (Power Electronics and Drives) (EE(PED)), Electrical Engineering (Power Systems) (EE(PS)), Electrical Engineering (Signal Processing and Communication) (EE(SPC)), Manufacturing Engineering (Automation and Robotics) (PE(AR)), Manufacturing Engineering (Product Design and Manufacturing) (PE(PDM))"
95+,"Thapar Institute of Engineering and Technology, Patiala (TIET Patiala)/CSE, ECE, ME, CE, EEE, IT, PE, CHE, BT, PHAR"
94+,"Manipal Institute of Technology, Manipal (MIT Manipal)/CSE, ECE, ME, CE, EEE, IT, PE, CHE, BT, PHAR"
93+,"SRM Institute of Science and Technology, Chennai (SRMIST Chennai)/CSE, ECE, ME, CE, EEE, IT, PE, CHE, BT, PHAR"
92+,"PSG College of Technology, Coimbatore (PSGCT Coimbatore)/CSE, ECE, ME, CE, EEE, IT, PE, CHE, BT, PHAR"
91+,"College of Engineering, Guindy (CEG Guindy)/CSE, ECE, ME, CE, EEE, IT, PE, CHE, BT, PHAR"
90+,"National Institute of Engineering, Tiruchirappalli (NIT Trichy)/CSE, ECE, ME, CE, EEE, IT, PE, CHE, BT, PHAR"
89+,"Birla Institute of Technology, Mesra (BIT Mesra)/CSE, ECE, ME, CE, EEE, PE, CHE, BT"
