Percentile,Top 10 Colleges/Branches
99+,"Indian Institute of Engineering Science and Technology, Shibpur (IIEST Shibpur)Computer Science and Engineering, Electronics and Communication Engineering, Mechanical Engineering, Civil Engineering, Electrical Engineering, Chemical Engineering, Information Technology"
98+,"Jadavpur University, KolkataComputer Science and Engineering, Electronics and Communication Engineering, Mechanical Engineering, Civil Engineering, Electrical Engineering, Information Technology"
97+,"Maulana Abul Kalam Azad University of Technology, West Bengal (MAKAUT, WB)Computer Science and Engineering, Electronics and Communication Engineering, Mechanical Engineering, Civil Engineering, Electrical Engineering, Information Technology, Artificial Intelligence and Machine Learning, Biotechnology, Chemical Engineering, Aerospace Engineering, Ceramic Engineering, Construction Engineering and Management, Environmental Engineering, Food Engineering, Geological Engineering, Industrial Engineering, Instrumentation and Control Engineering, Leather Engineering, Marine Engineering, Mining Engineering, Petroleum Engineering, Plastics Engineering, Printing Engineering, Production Engineering, Textile Engineering"
96+,"West Bengal National University of Technology, Durgapur (WBNUT Durgapur)Computer Science and Engineering, Electronics and Communication Engineering, Mechanical Engineering, Civil Engineering, Electrical Engineering, Information Technology, Metallurgical and Materials Engineering, Mining Engineering"
95+,"Birla Institute of Technology, KolkataComputer Science and Engineering, Electronics and Communication Engineering, Mechanical Engineering, Civil Engineering, Electrical Engineering, Information Technology, Artificial Intelligence and Data Science, Biotechnology, Chemical Engineering, Food Engineering, Production Engineering"
94+,"Heritage Institute of Technology, KolkataComputer Science and Engineering, Electronics and Communication Engineering, Mechanical Engineering, Civil Engineering, Electrical Engineering, Information Technology"
93+,"Government College of Engineering and Leather Technology, KolkataComputer Science and Engineering, Electronics and Communication Engineering, Mechanical Engineering, Civil Engineering, Electrical Engineering, Leather Engineering"
92+,"Government College of Engineering and Ceramic Technology, KolkataComputer Science and Engineering, Electronics and Communication Engineering, Mechanical Engineering, Civil Engineering, Electrical Engineering, Ceramic Engineering"
91+,"Bengal Engineering and Science University, ShibpurComputer Science and Engineering, Electronics and Communication Engineering, Mechanical Engineering, Civil Engineering, Electrical Engineering, Information Technology, Chemical Engineering, Food Engineering, Polymer Engineering and Technology"
90+,"Techno India University, West BengalComputer Science and Engineering, Electronics and Communication Engineering, Mechanical Engineering, Civil Engineering, Electrical Engineering, Information Technology, Artificial Intelligence and Machine Learning, Biotechnology, Chemical Engineering, Food Engineering, Production Engineering"
89+,"Haldia Institute of TechnologyComputer Science and Engineering, Electronics and Communication Engineering, Mechanical Engineering, Civil Engineering, Electrical Engineering, Information Technology"
